,listing_id,id,date,reviewer_id,comments
0,5731498,29457107,2015-04-07,23095855,3.6
1,5731498,31016835,2015-04-30,31804508,3.0
2,5731498,31974621,2015-05-12,25774985,4.2
3,5731498,32256117,2015-05-16,27845791,4.3
4,5731498,32659424,2015-05-19,33411612,3.0
5,5731498,33153814,2015-05-25,4158744,3.5
6,5731498,33458512,2015-05-28,9867287,3.8
7,5731498,33932927,2015-06-02,30841515,3.5
8,5731498,34258600,2015-06-06,1929948,3.6
9,5731498,34554503,2015-06-09,21784822,3.5
10,5731498,34784812,2015-06-12,32072646,4.1
11,5731498,35112068,2015-06-15,33278513,3.6
12,5731498,37146146,2015-07-05,4397982,3.4
13,5731498,37626151,2015-07-08,40967,3.6
14,5731498,37754282,2015-07-10,34061966,4.2
15,5731498,38432199,2015-07-15,37003377,3.6
16,1108690,4616454,2013-05-15,6108106,3.6
17,1108690,4693013,2013-05-20,3579072,4.1
18,1108690,4912921,2013-06-01,3270462,4.6
19,1108690,5008305,2013-06-07,6002893,3.7
20,1108690,5046380,2013-06-09,4962335,4.2
21,1108690,5073154,2013-06-10,2504555,3.6
22,1108690,5087730,2013-06-11,5068583,3.8
23,1108690,5215401,2013-06-18,3679396,3.9
24,1108690,5301921,2013-06-23,5660042,3.4
25,1108690,5399773,2013-06-28,6351267,3.6
26,1108690,5512604,2013-07-03,4248460,3.5
27,1108690,5551806,2013-07-05,4524561,3.7
28,1108690,5566993,2013-07-06,5594057,3.6
29,1108690,5610661,2013-07-08,3306430,4.2
30,1108690,5783055,2013-07-16,6135302,3.6
31,1108690,5837814,2013-07-18,3611232,3.6
32,1108690,5955238,2013-07-23,6990639,3.5
33,1108690,5969621,2013-07-24,4249624,3.7
34,1108690,5994695,2013-07-25,1165452,3.8
35,1108690,6050143,2013-07-28,4554085,3.8
36,1108690,6117839,2013-07-30,5210284,3.9
37,1108690,6204833,2013-08-03,7610785,4.3
38,1108690,6249779,2013-08-05,6810990,3.9
39,1108690,6304807,2013-08-07,7086094,3.9
40,1108690,6412857,2013-08-11,615622,4.2
41,1108690,6437970,2013-08-12,3196507,3.8
42,1108690,6488270,2013-08-14,7105080,4.0
43,1108690,6512919,2013-08-15,697401,3.6
44,1108690,6532022,2013-08-16,6706665,3.7
45,1108690,6707785,2013-08-22,3774416,3.8
46,1108690,6772868,2013-08-24,2449333,4.0
47,1108690,6822298,2013-08-26,4972178,2.9
48,1108690,6887350,2013-08-28,1739742,3.6
49,1108690,6897470,2013-08-29,7844873,3.7
50,1108690,7001089,2013-09-02,5345902,3.9
51,1108690,7073858,2013-09-05,2055695,3.5
52,1108690,7088359,2013-09-06,2064158,3.9
53,1108690,7465228,2013-09-21,599727,3.9
54,1108690,7490528,2013-09-22,7535144,3.8
55,1108690,7554165,2013-09-24,8091679,4.3
56,1108690,7628145,2013-09-27,1631954,3.6
57,1108690,8080555,2013-10-15,4190705,3.4
58,1108690,8119857,2013-10-16,7582762,3.9
59,1108690,8162859,2013-10-18,896925,3.4
60,1108690,8281051,2013-10-23,3683085,3.8
61,1108690,8412554,2013-10-29,9222200,2.9
62,1108690,8532341,2013-11-04,4689260,3.0
63,1108690,8669992,2013-11-11,7639093,4.0
64,1108690,8733054,2013-11-14,6453294,3.9
65,1108690,8860188,2013-11-22,1116989,4.3
66,1108690,8929943,2013-11-26,6420530,4.0
67,1108690,9182176,2013-12-11,1654599,3.6
68,1108690,9293187,2013-12-19,1553033,3.5
69,1108690,9466602,2013-12-30,3870015,4.0
70,1108690,9608529,2014-01-03,10423009,3.0
71,1108690,9747295,2014-01-07,10797397,3.5
72,1108690,9881158,2014-01-16,4507073,3.3
73,1108690,9962515,2014-01-21,9026893,3.7
74,1108690,10102493,2014-01-31,10867194,4.2
75,1108690,10158467,2014-02-03,11250534,3.8
76,1108690,10180100,2014-02-04,4554085,4.0
77,1108690,10295667,2014-02-11,4603849,4.0
78,1108690,10498559,2014-02-22,1951826,3.6
79,1108690,10588670,2014-02-26,2513408,3.6
80,1108690,10778735,2014-03-07,1615292,4.9
81,1108690,11053586,2014-03-18,9057757,3.8
